from,to,relationship
AmbrosiusF,Studium_Sport,Studium
AmbrosiusF,TV_DisneyChannel,Job
AmbrosiusF,TV_RTL,Job
AmbrosiusF,TV_SuperRTL,Job
BaeckerD,Ausbildung_Meteorologie,Ausbildung
BaeckerD,Studium_Studium,Studium
BaeckerD,TV_ARD,Job
BiewerM,Ausbildung_Elektronikfacharbeit,Ausbildung
BiewerM,Studium_Schauspiel,Studium
BiewerM,TV_RTL,Job
BoschmannD,Radio_YouFM,Job
BoschmannD,Studium_BWL,Studium
BoschmannD,TV_HR3,Job
BoschmannD,TV_ProSieben,Job
BoschmannD,TV_SAT1,Job
BreyerJ,Radio_BR,Job
BreyerJ,Studium_Amerikanistik,Studium
BreyerJ,Studium_Politik,Studium
BreyerJ,Studium_Volkswirtschaftslehre,Studium
BreyerJ,TV_ZDF,Job
BreyerJ,Zeitung_Sueddeutsche Zeitung,Job
FingererbenA,Ausbildung_Werbekauffrau,Ausbildung
FingererbenA,Studium_Medien,Studium
FingererbenA,TV_RTL,Job
GrossmannP,Radio_RadioDortmund,Job
GrossmannP,Studium_Sport,Studium
GrossmannP,TV_ARD,Job
GrossmannP,TV_WDR,Job
HahnJ,Radio_Energy_Berlin,Job
HahnJ,Radio_Energy_Sachsen,Job
HahnJ,Radio_MDR,Job
HahnJ,Radio_NRJ,Job
HahnJ,Studium_Medien,Studium
HahnJ,TV_MDR,Job
HahnJ,TV_RTL,Job
HahnJ,TV_SAT1,Job
HayaliD,Radio_DeutscheWelle,Job
HayaliD,Radio_RadioKoeln,Job
HayaliD,Studium_Medien,Studium
HayaliD,TV_DeutscheWelleTV,Job
HayaliD,TV_ZDF,Job
HeinrichsK,Praktikum_TV_SAT1,Praktikum
HeinrichsK,Radio_rs2,Job
HeinrichsK,Radio_SpreeRadio,Job
HeinrichsK,Radio_StarFM,Job
HeinrichsK,Studium_Germanistische_Linguistik,Studium
HeinrichsK,TV_SAT1,Job
HeinrichsK,Volontariat_Radio_RadioSaw,Volontariat
HeinrichsK,Studium_Literatur,Studium
HeinrichsK,Studium_Philosophie,Studium
HeydeA,TV_BahnTV,Job
HeydeA,TV_DeutscheWelleTV,Job
HeydeA,TV_MDR,Job
HeydeA,TV_RTL,Job
HeydeA,TV_TierTV,Job
HeydeA,TV_ZDF,Job
ImhofE,Studium_Medien,Studium
ImhofE,Studium_Politik,Studium
ImhofE,Studium_Psychologie,Studium
ImhofE,TV_NTV,Job
ImhofE,TV_RTL,Job
ImhofE,TV_SWR,Job
ImhofE,TV_TierTV,Job
ImhofE,Volontariat_TV_NBC,Volontariat
KillingM,Studium_Medien,Studium
KillingM,TV_DasVierte,Job
KillingM,TV_NRWTV,Job
KillingM,TV_SAT1,Job
KillingM,Zeitung_WochenkurierHagen,Job
KnaebleJ,Studium_BWL,Studium
KnaebleJ,TV_NTV,Job
KnaebleJ,TV_RTL,Job
KonsW,Studium_Jura,Studium
KonsW,TV_RTL,Job
KonsW,TV_WDR,Job
KonsW,Volontariat_Radio_RadioGong,Volontariat
KonsW,Zeitung_Welt,Job
LinkS,Radio_RadioWuppertal,Job
LinkS,Studium_Germanistik,Studium
LinkS,TV_ARD,Job
LinkS,TV_MDR,Job
LinkS,TV_WDR,Job
LinkS,Volontariat_Radio_RadioWuppertal,Volontariat
LorigS,Radio_Neandertal,Job
LorigS,Radio_RadioBremen,Job
LorigS,Studium_Geschichte,Studium
LorigS,Studium_Politik,Studium
LorigS,TV_ARD,Job
LorigS,TV_WDR,Job
LorigS,TV_ZDF,Job
LufenM,Praktikum_TV_ABC,Praktikum
LufenM,Studium_Medien,Studium
LufenM,Studium_Spanisch,Studium
LufenM,TV_SAT1,Job
LufenM,TV_WDR,Job
MeierC,Radio_RadioBremen,Job
MeierC,TV_ARD,Job
MeierC,TV_WDR,Job
MeierC,Volontariat_TV_NDR,Volontariat
NassifT,Ausbildung_Journalistenschule,Ausbildung
NassifT,Radio_Bayrisches_Lokalradio,Job
NassifT,Radio_Charivari,Job
NassifT,Radio_Untersberg,Job
NassifT,TV_ARD,Job
NassifT,TV_BR,Job
NassifT,TV_WDR,Job
NaumannS,Ausbildung_Moderation,Ausbildung
NaumannS,Praktikum_Radio_DeutscheWelle,Praktikum
NaumannS,Studium_Anglistik,Studium
NaumannS,Studium_Germanistik,Studium
NaumannS,TV_Fraport,Job
NaumannS,TV_Hamburg1,Job
NaumannS,TV_RheinMainTV,Job
NaumannS,TV_RTL,Job
NaumannS,TV_SAT1,Job
PareigisJ,Online_ZeitOnline,Job
PareigisJ,Radio_DeutscheWelle,Job
PareigisJ,Studium_Afrikanistik,Studium
PareigisJ,Studium_Politik,Studium
PareigisJ,TV_DeutscheWelleTV,Job
PareigisJ,TV_N24,Job
PareigisJ,TV_WDR,Job
PareigisJ,TV_ZDF,Job
PlankenA,Studium_Geographie,Studium
PlankenA,Studium_Geschichte,Studium
PlankenA,Studium_Skandinavistik,Studium
PlankenA,TV_ARD,Job
PlankenA,TV_WDR,Job
PlankenA,Volontariat_TV_WDR,Volontariat
SchumacherS,Studium_Medien,Studium
SchumacherS,TV_RTL,Job
SirinM,Radio_KissFM,Job
SirinM,Radio_RadioMultikulti,Job
SirinM,Radio_RTL,Job
SirinM,TV_RBB,Job
SirinM,TV_VOX,Job
