id,name,type,Senderart,Online,Print,TV,Radio,Studium,Ausbildung,Praktikum,Volontariat
AmbrosiusF,Florian Ambrosius,0,na,0,0,0,0,0,0,0,0
Ausbildung_Elektronikfacharbeit,Ausbildung Elektronikfacharbeit,1,na,0,0,0,0,0,1,0,0
Ausbildung_Journalistenschule,Ausbildung Journalsitenschule,1,na,0,0,0,0,0,1,0,0
Ausbildung_Meteorologie,Ausbildung Meteorologie,1,na,0,0,0,0,0,1,0,0
Ausbildung_Moderation,Ausbildung Moderation,1,na,0,0,0,0,0,1,0,0
Ausbildung_Sportreporter,Ausbildung Sportreporter,1,na,0,0,0,0,0,1,0,0
Ausbildung_Werbekauffrau,Ausbildung Werbekauffrau,1,na,0,0,0,0,0,1,0,0
BaeckerD,Donald Baecker,0,na,0,0,0,0,0,0,0,0
BiewerM,Maxi Biewer,0,na,0,0,0,0,0,0,0,0
BoschmannD,Daniel Boschmann,0,na,0,0,0,0,0,0,0,0
BreyerJ,Jochen Breyer,0,na,0,0,0,0,0,0,0,0
FingererbenA,Angela Fingererben,0,na,0,0,0,0,0,0,0,0
GrossmannP,Peter Großmann,0,na,0,0,0,0,0,0,0,0
HahnJ,Jan Hahn,0,na,0,0,0,0,0,0,0,0
HayaliD,Dunja Hayali,0,na,0,0,0,0,0,0,0,0
HeinrichK,Karen Heinrich,0,na,0,0,0,0,0,0,0,0
HeydeA,Anja Heyde,0,na,0,0,0,0,0,0,0,0
ImhofE,Eva Imhof,0,na,0,0,0,0,0,0,0,0
KillingM,Matthias Killing,0,na,0,0,0,0,0,0,0,0
KnaebleJ,Jennifer Knaeble,0,na,0,0,0,0,0,0,0,0
KonsW,Wolfgang Kons,0,na,0,0,0,0,0,0,0,0
LinkS,Susan Link,0,na,0,0,0,0,0,0,0,0
LorigS,Sven Lorig,0,na,0,0,0,0,0,0,0,0
LufenM,Marlene Lufen,0,na,0,0,0,0,0,0,0,0
MeierC,Christiane Meier,0,na,0,0,0,0,0,0,0,0
NassifT,Til Nassif,0,na,0,0,0,0,0,0,0,0
NaumannS,Saskia Naumann,0,na,0,0,0,0,0,0,0,0
Online_Spox.com,Spox.com,1,1,1,0,0,0,0,0,0,0
Online_ZeitOnline,Zeit Online,1,1,1,0,0,0,0,0,0,0
PareigisJ,Jane Pareigis,0,na,0,0,0,0,0,0,0,0
PlankenA,Anna Planken,0,na,0,0,0,0,0,0,0,0
Praktikum_Radio_DeutscheWelle,Praktikum DeutscheWelle,1,0,0,0,0,1,0,0,1,0
Praktikum_TV_ABC,Praktikum ABC,1,1,0,0,1,0,0,0,1,0
